;No;Code;Browser
1785;1548;U+1F3F4 U+200D U+2620 U+FE0F;🏴‍☠️
1786;country-flag;country-flag;country-flag
1787;№;Code;Browser
1788;1549;U+1F1E6 U+1F1E8;🇦🇨
1789;1550;U+1F1E6 U+1F1E9;🇦🇩
1790;1551;U+1F1E6 U+1F1EA;🇦🇪
1791;1552;U+1F1E6 U+1F1EB;🇦🇫
1792;1553;U+1F1E6 U+1F1EC;🇦🇬
1793;1554;U+1F1E6 U+1F1EE;🇦🇮
1794;1555;U+1F1E6 U+1F1F1;🇦🇱
1795;1556;U+1F1E6 U+1F1F2;🇦🇲
1796;1557;U+1F1E6 U+1F1F4;🇦🇴
1797;1558;U+1F1E6 U+1F1F6;🇦🇶
1798;1559;U+1F1E6 U+1F1F7;🇦🇷
1799;1560;U+1F1E6 U+1F1F8;🇦🇸
1800;1561;U+1F1E6 U+1F1F9;🇦🇹
1801;1562;U+1F1E6 U+1F1FA;🇦🇺
1802;1563;U+1F1E6 U+1F1FC;🇦🇼
1803;1564;U+1F1E6 U+1F1FD;🇦🇽
1804;1565;U+1F1E6 U+1F1FF;🇦🇿
1805;1566;U+1F1E7 U+1F1E6;🇧🇦
1806;1567;U+1F1E7 U+1F1E7;🇧🇧
1807;1568;U+1F1E7 U+1F1E9;🇧🇩
1808;№;Code;Browser
1809;1569;U+1F1E7 U+1F1EA;🇧🇪
1810;1570;U+1F1E7 U+1F1EB;🇧🇫
1811;1571;U+1F1E7 U+1F1EC;🇧🇬
1812;1572;U+1F1E7 U+1F1ED;🇧🇭
1813;1573;U+1F1E7 U+1F1EE;🇧🇮
1814;1574;U+1F1E7 U+1F1EF;🇧🇯
1815;1575;U+1F1E7 U+1F1F1;🇧🇱
1816;1576;U+1F1E7 U+1F1F2;🇧🇲
1817;1577;U+1F1E7 U+1F1F3;🇧🇳
1818;1578;U+1F1E7 U+1F1F4;🇧🇴
1819;1579;U+1F1E7 U+1F1F6;🇧🇶
1820;1580;U+1F1E7 U+1F1F7;🇧🇷
1821;1581;U+1F1E7 U+1F1F8;🇧🇸
1822;1582;U+1F1E7 U+1F1F9;🇧🇹
1823;1583;U+1F1E7 U+1F1FB;🇧🇻
1824;1584;U+1F1E7 U+1F1FC;🇧🇼
1825;1585;U+1F1E7 U+1F1FE;🇧🇾
1826;1586;U+1F1E7 U+1F1FF;🇧🇿
1827;1587;U+1F1E8 U+1F1E6;🇨🇦
1828;1588;U+1F1E8 U+1F1E8;🇨🇨
1829;№;Code;Browser
1830;1589;U+1F1E8 U+1F1E9;🇨🇩
1831;1590;U+1F1E8 U+1F1EB;🇨🇫
1832;1591;U+1F1E8 U+1F1EC;🇨🇬
1833;1592;U+1F1E8 U+1F1ED;🇨🇭
1834;1593;U+1F1E8 U+1F1EE;🇨🇮
1835;1594;U+1F1E8 U+1F1F0;🇨🇰
1836;1595;U+1F1E8 U+1F1F1;🇨🇱
1837;1596;U+1F1E8 U+1F1F2;🇨🇲
1838;1597;U+1F1E8 U+1F1F3;🇨🇳
1839;1598;U+1F1E8 U+1F1F4;🇨🇴
1840;1599;U+1F1E8 U+1F1F5;🇨🇵
1841;1600;U+1F1E8 U+1F1F7;🇨🇷
1842;1601;U+1F1E8 U+1F1FA;🇨🇺
1843;1602;U+1F1E8 U+1F1FB;🇨🇻
1844;1603;U+1F1E8 U+1F1FC;🇨🇼
1845;1604;U+1F1E8 U+1F1FD;🇨🇽
1846;1605;U+1F1E8 U+1F1FE;🇨🇾
1847;1606;U+1F1E8 U+1F1FF;🇨🇿
1848;1607;U+1F1E9 U+1F1EA;🇩🇪
1849;1608;U+1F1E9 U+1F1EC;🇩🇬
1850;№;Code;Browser
1851;1609;U+1F1E9 U+1F1EF;🇩🇯
1852;1610;U+1F1E9 U+1F1F0;🇩🇰
1853;1611;U+1F1E9 U+1F1F2;🇩🇲
1854;1612;U+1F1E9 U+1F1F4;🇩🇴
1855;1613;U+1F1E9 U+1F1FF;🇩🇿
1856;1614;U+1F1EA U+1F1E6;🇪🇦
1857;1615;U+1F1EA U+1F1E8;🇪🇨
1858;1616;U+1F1EA U+1F1EA;🇪🇪
1859;1617;U+1F1EA U+1F1EC;🇪🇬
1860;1618;U+1F1EA U+1F1ED;🇪🇭
1861;1619;U+1F1EA U+1F1F7;🇪🇷
1862;1620;U+1F1EA U+1F1F8;🇪🇸
1863;1621;U+1F1EA U+1F1F9;🇪🇹
1864;1622;U+1F1EA U+1F1FA;🇪🇺
1865;1623;U+1F1EB U+1F1EE;🇫🇮
1866;1624;U+1F1EB U+1F1EF;🇫🇯
1867;1625;U+1F1EB U+1F1F0;🇫🇰
1868;1626;U+1F1EB U+1F1F2;🇫🇲
1869;1627;U+1F1EB U+1F1F4;🇫🇴
1870;1628;U+1F1EB U+1F1F7;🇫🇷
1871;№;Code;Browser
1872;1629;U+1F1EC U+1F1E6;🇬🇦
1873;1630;U+1F1EC U+1F1E7;🇬🇧
1874;1631;U+1F1EC U+1F1E9;🇬🇩
1875;1632;U+1F1EC U+1F1EA;🇬🇪
1876;1633;U+1F1EC U+1F1EB;🇬🇫
1877;1634;U+1F1EC U+1F1EC;🇬🇬
1878;1635;U+1F1EC U+1F1ED;🇬🇭
1879;1636;U+1F1EC U+1F1EE;🇬🇮
1880;1637;U+1F1EC U+1F1F1;🇬🇱
1881;1638;U+1F1EC U+1F1F2;🇬🇲
1882;1639;U+1F1EC U+1F1F3;🇬🇳
1883;1640;U+1F1EC U+1F1F5;🇬🇵
1884;1641;U+1F1EC U+1F1F6;🇬🇶
1885;1642;U+1F1EC U+1F1F7;🇬🇷
1886;1643;U+1F1EC U+1F1F8;🇬🇸
1887;1644;U+1F1EC U+1F1F9;🇬🇹
1888;1645;U+1F1EC U+1F1FA;🇬🇺
1889;1646;U+1F1EC U+1F1FC;🇬🇼
1890;1647;U+1F1EC U+1F1FE;🇬🇾
1891;1648;U+1F1ED U+1F1F0;🇭🇰
1892;№;Code;Browser
1893;1649;U+1F1ED U+1F1F2;🇭🇲
1894;1650;U+1F1ED U+1F1F3;🇭🇳
1895;1651;U+1F1ED U+1F1F7;🇭🇷
1896;1652;U+1F1ED U+1F1F9;🇭🇹
1897;1653;U+1F1ED U+1F1FA;🇭🇺
1898;1654;U+1F1EE U+1F1E8;🇮🇨
1899;1655;U+1F1EE U+1F1E9;🇮🇩
1900;1656;U+1F1EE U+1F1EA;🇮🇪
1901;1657;U+1F1EE U+1F1F1;🇮🇱
1902;1658;U+1F1EE U+1F1F2;🇮🇲
1903;1659;U+1F1EE U+1F1F3;🇮🇳
1904;1660;U+1F1EE U+1F1F4;🇮🇴
1905;1661;U+1F1EE U+1F1F6;🇮🇶
1906;1662;U+1F1EE U+1F1F7;🇮🇷
1907;1663;U+1F1EE U+1F1F8;🇮🇸
1908;1664;U+1F1EE U+1F1F9;🇮🇹
1909;1665;U+1F1EF U+1F1EA;🇯🇪
1910;1666;U+1F1EF U+1F1F2;🇯🇲
1911;1667;U+1F1EF U+1F1F4;🇯🇴
1912;1668;U+1F1EF U+1F1F5;🇯🇵
1913;№;Code;Browser
1914;1669;U+1F1F0 U+1F1EA;🇰🇪
1915;1670;U+1F1F0 U+1F1EC;🇰🇬
1916;1671;U+1F1F0 U+1F1ED;🇰🇭
1917;1672;U+1F1F0 U+1F1EE;🇰🇮
1918;1673;U+1F1F0 U+1F1F2;🇰🇲
1919;1674;U+1F1F0 U+1F1F3;🇰🇳
1920;1675;U+1F1F0 U+1F1F5;🇰🇵
1921;1676;U+1F1F0 U+1F1F7;🇰🇷
1922;1677;U+1F1F0 U+1F1FC;🇰🇼
1923;1678;U+1F1F0 U+1F1FE;🇰🇾
1924;1679;U+1F1F0 U+1F1FF;🇰🇿
1925;1680;U+1F1F1 U+1F1E6;🇱🇦
1926;1681;U+1F1F1 U+1F1E7;🇱🇧
1927;1682;U+1F1F1 U+1F1E8;🇱🇨
1928;1683;U+1F1F1 U+1F1EE;🇱🇮
1929;1684;U+1F1F1 U+1F1F0;🇱🇰
1930;1685;U+1F1F1 U+1F1F7;🇱🇷
1931;1686;U+1F1F1 U+1F1F8;🇱🇸
1932;1687;U+1F1F1 U+1F1F9;🇱🇹
1933;1688;U+1F1F1 U+1F1FA;🇱🇺
1934;№;Code;Browser
1935;1689;U+1F1F1 U+1F1FB;🇱🇻
1936;1690;U+1F1F1 U+1F1FE;🇱🇾
1937;1691;U+1F1F2 U+1F1E6;🇲🇦
1938;1692;U+1F1F2 U+1F1E8;🇲🇨
1939;1693;U+1F1F2 U+1F1E9;🇲🇩
1940;1694;U+1F1F2 U+1F1EA;🇲🇪
1941;1695;U+1F1F2 U+1F1EB;🇲🇫
1942;1696;U+1F1F2 U+1F1EC;🇲🇬
1943;1697;U+1F1F2 U+1F1ED;🇲🇭
1944;1698;U+1F1F2 U+1F1F0;🇲🇰
1945;1699;U+1F1F2 U+1F1F1;🇲🇱
1946;1700;U+1F1F2 U+1F1F2;🇲🇲
1947;1701;U+1F1F2 U+1F1F3;🇲🇳
1948;1702;U+1F1F2 U+1F1F4;🇲🇴
1949;1703;U+1F1F2 U+1F1F5;🇲🇵
1950;1704;U+1F1F2 U+1F1F6;🇲🇶
1951;1705;U+1F1F2 U+1F1F7;🇲🇷
1952;1706;U+1F1F2 U+1F1F8;🇲🇸
