Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion;Smileys & Emotion
face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling;face-smiling
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
1;U+1F600;😀;;;;;;;;;—;—;—;grinning face
2;U+1F603;😃;;;;;;;;;;;;grinning face with big eyes
3;U+1F604;😄;;;;;;;;;;—;—;grinning face with smiling eyes
4;U+1F601;😁;;;;;;;;;;;;beaming face with smiling eyes
5;U+1F606;😆;;;;;;;;;—;;—;grinning squinting face
6;U+1F605;😅;;;;;;;;;—;;—;grinning face with sweat
7;U+1F923;🤣;;;;;;;;—;—;—;—;rolling on the floor laughing
8;U+1F602;😂;;;;;;;;;;—;;face with tears of joy
9;U+1F642;🙂;;;;;;;;;—;—;—;slightly smiling face
10;U+1F643;🙃;;;;;;;;—;—;—;—;upside-down face
11;U+1F609;😉;;;;;;;;;;;;winking face
12;U+1F60A;😊;;;;;;;;;;—;;smiling face with smiling eyes
13;U+1F607;😇;;;;;;;;—;—;—;—;smiling face with halo
face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection;face-affection
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
14;U+1F970;🥰;;;;;;;;—;—;—;—;smiling face with hearts
15;U+1F60D;😍;;;;;;;;;;;;smiling face with heart-eyes
16;U+1F929;🤩;;;;;;;;—;—;—;—;star-struck
17;U+1F618;😘;;;;;;;;;;—;;face blowing a kiss
18;U+1F617;😗;;;;;;;;—;—;—;—;kissing face
19;U+263A;☺;;;;;;;;;;—;;smiling face
20;U+1F61A;😚;;;;;;;;;;—;;kissing face with closed eyes
21;U+1F619;😙;;;;;;;;—;—;—;—;kissing face with smiling eyes
22;U+1F972;🥲;—;;—;—;—;;—;—;—;—;—;⊛ smiling face with tear
face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue;face-tongue
№;Code;Browser;Appl;Goog;FB;Wind;Twtr;Joy;Sams;GMail;SB;DCM;KDDI;CLDR Short Name
23;U+1F60B;😋;;;;;;;;;—;;—;face savoring food
